ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
8601,AMB,0,FL,33055, , ,5810,0, , , , ,XXXX,S3,21,39,E,H, , ,M, ,1,2,F,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,12,34,21,14,4,2, , , ,3, , , , , , , , , , , , , , , , , , , , ,X,5673,1303,1539,99,0,0,47,53,32,61,0,0,36,0,0,0,0,0,0,0,0,4,16,16,26,38,42,29,40,45,35,38,40,22,18,23,21,19,11,5,3,15,16,32,22,15,16,2,9,13,18,69,50,30,16,46,14,5,36,300,361,81,53,0,18,18,16,0,0,0,582,589,3,3,70,30,95,5,0,61,85,50,34,91,9,27,3,24,9,14,3,8,20,4,19,38,3,0,0,2,13,70,0,12,31,48,45,20,8,6,12,0,13,1,16,0,20,36,50,61,5000,127,528,250,267,290,304,7876,32,18,21,11,14,3,1,0,0,27,18,23,14,15,2,1,0,0,21,14,16,24,43,57,12,70,22,5,4,0,0,0,2,1,0,13,26,29,5,83,68,82,56,71,51,57,34,67,99,12,7,2,3,8,17,1,3,22,2,13,9,5,7,2,0,9,15,5,1,5,17,7,4,5,3,11,10,5,2,14,4,2,4,72,3,0,117,19,33,23,12,5,4,3,3,32,2,27,7,0,0,0,6,12,0,34,11,21,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,60,40,0,1,89,56,25,7,22,0,0,20,45,75,25,0,1,17,5,73,1,0,0,99,0,94,99,94,6,2,6,2,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,,9506,,9503,9502,9501,9411,9411,9410,9409,9407,9406,L3E,S3E,S3E,S3E,S3E,S2E,S2E,S2E,S2E,S2E,S2E, ,A1E, ,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,A2D,26,9702,57,6,13,,,,,,,,,9602,,,9506,,,,,,,9501,,,,,,,,,,,,11,,,11,,,,,,,11,,,,92,11,7,3,8610,11,9404,11,9602,8610,8803,17,8.3636363636,37102,0,L,3,E,X,X,X,26,A
9001,AML,0,TX,76020, , ,1403,0, , , , ,XXXX,S2,18,84,E,H, , , , ,,1,F,5,15,0,0,2,1,0,0,0,1,0,1,1,0,0,0,3,3,37,64,11,6,2,5, , , ,5,12, , , , , , , , , , , , , , , , , , , , ,3169,912,1114,36,0,64,50,50,98,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,30,38,42,32,42,46,30,41,40,20,15,26,21,15,11,9,4,17,17,33,18,15,19,6,17,16,32,52,31,12,3,68,11,5,16,210,284,67,66,2,7,6,3,0,0,0,586,606,3,3,76,24,88,12,2,46,82,70,38,91,9,8,2,6,10,13,3,25,61,12,0,0,0,0,1,4,18,69,0,4,31,47,50,15,5,7,1,25,10,3,3,8,9,19,49,83,2800,109,623,266,302,307,328,11043,25,23,17,20,12,3,0,0,0,23,19,20,20,14,3,0,0,1,22,7,27,14,45,55,8,77,17,0,0,0,0,0,2,5,1,83,30,32,10,67,65,76,54,72,48,58,47,90,99,3,7,11,4,14,18,1,1,6,1,18,9,6,5,1,1,5,26,7,2,6,23,2,4,1,1,8,5,2,5,5,2,6,5,73,9,0,120,11,17,38,22,5,7,1,1,25,1,22,3,0,1,0,18,37,0,40,16,27,15,0,11,1,10,0,0,12,0,0,1,0,0,0,0,0,1,70,95,4,0,1,97,66,24,6,12,1,16,45,69,82,18,0,0,12,36,52,0,0,0,87,13,33,99,92,6,2,6,7,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,9504,9503,9502,9412,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F,A1F,A1F,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1E,A1E,A1E,A1E,A1E,A1E,A2E,A2E,25,9702,60,6,13,,,,,,,,,,9512,,,,,,,9412,,,,,,,,,,,,,,,15,,,,,,,25,,,,,,92,7,3,10,9312,25,9412,15,9512,9011,9112,13,13.142857143,119666,1,L,1,F,X,X,X,38,A
8601,BHG,2,AL,35565-, , ,0,0, , , , ,XXXX,R3,51,, ,H, , , , ,,3,M,,0,,,,,,,,,,,,,,,2,0,23,25,48,5,3,1, , , ,, , , , , , ,Y, , , , ,Y,Y, , , , , , ,2,X,12385,3663,4879,0,36,64,48,52,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,47,37,46,50,25,38,39,23,13,20,19,16,13,11,8,14,17,32,20,17,27,12,25,24,34,42,23,7,2,65,10,9,16,178,252,69,68,2,8,6,2,1,1,0,367,439,1,1,76,24,92,8,5,36,75,63,29,88,12,7,1,5,10,20,1,20,60,19,0,0,0,0,1,4,13,30,0,2,38,50,52,14,4,8,0,22,12,6,2,4,0,1,5,19,0,221,630,179,220,236,276,9389,41,24,15,11,7,1,1,0,0,31,25,17,14,9,1,1,0,0,33,10,24,19,40,60,6,79,16,0,0,0,0,0,2,3,1,26,15,20,3,52,60,72,49,67,45,61,46,77,91,7,5,8,3,10,10,0,1,8,3,14,21,11,5,3,1,6,43,5,2,5,13,3,3,3,1,6,4,3,2,5,3,1,7,80,3,1,120,25,24,29,12,3,4,2,0,21,1,17,3,0,0,0,11,22,1,26,13,43,12,0,4,1,3,0,0,9,0,0,0,0,0,0,0,0,0,79,98,1,0,0,91,60,20,8,20,2,13,22,54,74,26,0,0,36,21,25,3,0,15,77,19,31,98,79,9,2,6,6,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,,9503,9502,9501,9411,9411,9410,9409,,9406,L3F,S3F,S3F,S3F,S4F,S4D,S4D,S4D,S3D,S3D,S3D,S3D,S3D, ,A1D,A1D,A1D,A1D,A1D,A1D,A1D, ,A1D,29,9702,67,6,13,,,,,,,,,,,9507,,,,,9501,,,9410,,,,,,,,,,,,,,6,,,,,8,,,6,,,,76,14,8,3,9102,15,9512,15,9512,8802,9006,28,5.4285714286,47713,0,L,3,F,X,X,X,60,D
8601,WKB,0,FL,33523, , ,2201,0, , , , ,XXXX,T2,38,76,E,U, , , , ,,5,F,,0,,,,,,,,,,,,,,,2,0,37,37,35,9,3,2, , , ,, , , , , , , , , , , , , , , , , , , , ,X,998,256,444,0,96,4,44,56,95,2,0,0,7,0,0,0,0,0,0,0,5,2,0,1,35,43,49,39,47,52,22,31,42,26,15,19,18,11,12,13,12,12,12,32,26,18,33,19,31,38,33,29,16,6,3,48,14,13,25,135,216,60,58,5,39,34,27,4,1,3,558,682,3,3,51,49,88,12,2,28,58,43,17,74,26,11,2,9,15,32,4,16,55,24,1,1,0,1,6,15,30,59,0,4,34,49,50,12,4,21,19,0,11,9,28,0,0,8,51,91,8280,131,539,220,272,295,369,17713,35,23,16,7,13,0,2,0,2,16,21,22,10,28,0,3,0,0,45,8,40,10,54,46,15,81,10,0,0,0,0,0,9,0,0,6,11,17,5,33,57,70,47,67,44,68,43,99,0,0,15,22,1,20,17,0,0,7,0,5,4,6,3,3,0,4,16,5,0,2,31,3,1,2,2,7,9,10,5,9,3,2,0,80,6,0,126,10,7,29,26,10,15,3,2,18,1,16,4,0,0,0,16,37,0,37,34,35,0,4,21,0,7,1,0,6,0,0,1,0,0,1,1,0,1,38,96,3,0,1,86,32,9,5,19,0,4,18,33,37,63,0,0,4,7,84,5,0,0,99,0,94,99,95,9,2,11,2,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,L4D,S4D,S4D,S4D,S4D,S4G,S4G,S4G,A4G,A4G,A4G,S4G,S3G,S4G,S4G,A1D,A1D,S3D,S3D,S3D,S3D,S4D,S4D,34,9702,83,5,10,,,,,,,,9511,,,,9508,9505,,9504,,,9412,,9412,9410,,,,,,,,,5,,,,5,5,,5,,,5,,30,5,,240,43,22,2,9306,30,9412,5,9511,8610,8612,2,5.5813953488,40742,1,L,4,D,X,X,X,52,A
9501,CFI,0,KS,66425, , ,0,0, , , , ,XXXX,R2,43,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,1,28,23,39,7,3,4, , , ,, , , , ,Y, ,Y,Y,Y, ,Y,Y,Y,Y, , , , , ,2, ,3309,901,1167,0,0,99,49,51,83,0,16,0,2,0,0,0,0,0,0,0,1,0,0,1,32,44,48,35,48,51,32,39,42,18,11,20,19,12,14,13,11,15,17,36,19,13,32,13,31,21,33,46,32,17,7,68,7,7,19,187,282,91,89,3,4,1,1,0,0,0,219,283,1,1,74,26,88,12,4,40,77,68,34,90,10,6,2,3,13,13,2,21,43,19,0,0,0,0,0,1,3,16,0,1,58,58,59,14,4,4,0,4,24,2,1,0,0,0,0,9,0,313,616,221,250,243,271,8565,31,27,21,15,6,0,1,0,0,24,26,24,18,6,0,1,0,0,36,6,42,17,33,67,7,67,15,0,0,0,0,0,5,13,3,25,15,19,5,54,65,77,53,74,52,74,58,61,78,10,10,8,3,3,10,1,1,13,23,10,7,8,3,24,0,7,14,5,1,2,11,2,2,3,2,10,7,4,5,7,3,4,18,56,10,2,120,9,12,44,18,6,10,2,1,28,2,23,4,1,1,0,14,28,1,23,9,39,10,1,3,0,27,0,0,3,0,0,0,0,0,0,1,0,0,71,98,0,0,1,96,69,30,10,51,1,7,13,27,34,66,0,0,30,49,5,5,0,12,52,45,36,97,96,9,2,5,8,9706,9606,9604,,9603,9602,9601,9511,9510,9510,9509,9507,9506,,,9501,9412,,,,,,,L1F,N1F,N1F, ,N1F,N1F,N1F,F1F,F1F,F1F,F1F,F1F,F1F, , ,P1A,P1F, , , , , , ,8,9702,17,3,7,,,,,,,,,,,,,,,,9504,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,15,1,1,15,9504,15,9504,15,9504,9504,,,15,104948,0,L,1,F,X,X,X,57,D
8601,ASC,0,AL,36027, , ,0,0,X,X, , ,XXXX,T2,37,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,0,28,31,48,4,3,6, ,12, ,5, , , , , , , , , , , , , , , , , , , ,1, ,1104,262,340,0,80,20,44,56,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,48,52,41,51,55,24,38,40,22,10,18,17,13,10,15,19,16,14,37,16,17,28,10,26,21,31,48,28,11,5,48,11,20,22,193,273,82,81,2,9,7,2,16,16,0,542,727,4,2,75,25,93,7,20,42,77,59,31,75,25,11,2,9,8,22,2,10,32,16,10,20,13,2,11,30,39,52,0,3,56,58,59,15,4,8,1,8,14,7,1,2,3,7,47,64,0,409,522,236,269,321,360,11617,27,27,8,18,11,5,4,0,0,19,26,10,24,10,6,4,0,0,35,7,36,23,50,50,10,77,20,0,0,0,0,0,1,1,1,13,16,20,4,51,48,61,41,58,36,63,61,82,99,4,11,14,6,14,11,0,1,9,1,12,9,8,3,2,0,4,32,6,0,4,18,3,2,1,0,10,7,7,2,4,3,6,4,79,4,0,120,25,19,27,12,5,10,2,2,20,1,16,5,0,0,0,11,28,0,31,26,48,0,0,8,0,6,0,0,6,0,0,0,0,0,1,0,0,0,66,99,0,0,0,93,63,24,9,20,6,18,22,48,64,36,0,0,21,26,50,0,0,3,94,6,67,96,92,6,2,8,3,9706,9606,9604,9604,9603,9602,9601,9511,,9510,9508,,9506,,9503,9502,9501,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F,A1F,A1F,L2F,L2F,L2F, ,L2F,L2F, ,L2F, ,L2F,A2F,A2F,A2F,A2F,A2F,A2F,A2F,A2F,30,9702,93,8,18,,,,,,,9512,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,132,13,5,2,8807,20,9512,5,9702,8709,8807,10,10.153846154,7736,0,L,1,F,X,X,X,54,D
9401,ASS,1,FL,32210, , ,4201,0, , , , ,XXXX,S2,16,56,E,H, , , , ,,5,M,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,52,42,46,8,5,7, , , ,, , , , , , , , , , , , , , , , , , , , ,X,1053,316,365,99,0,0,50,50,94,4,0,2,3,0,0,0,2,0,0,0,1,1,0,0,34,44,47,37,46,49,25,42,40,18,10,22,18,15,15,15,4,14,20,35,16,15,30,5,23,9,42,48,30,13,4,69,9,5,16,196,288,99,99,0,0,0,0,0,0,0,577,576,5,4,89,11,96,4,0,39,87,75,32,92,8,6,1,5,8,10,4,20,53,21,1,2,0,0,0,0,4,77,0,0,83,62,65,15,4,0,0,0,11,0,0,0,13,70,75,83,3600,335,561,329,342,362,387,12091,20,12,26,15,22,5,0,0,0,15,9,30,17,23,6,0,0,0,31,6,40,8,42,58,15,79,14,1,1,0,0,1,3,2,2,2,21,26,5,73,58,72,46,71,45,68,50,71,99,4,15,24,2,9,15,0,0,19,0,4,5,5,1,2,0,6,3,3,1,4,22,9,5,8,0,13,13,5,6,8,5,7,10,59,11,0,123,6,9,33,26,9,14,3,2,22,3,15,7,4,8,0,25,52,2,42,42,46,3,1,12,0,7,0,0,5,1,0,0,0,1,4,0,0,1,36,97,1,0,1,99,75,21,16,34,0,0,0,3,25,75,0,0,50,6,36,6,0,0,99,0,99,99,97,5,2,6,10,9706,9606,9604,9604,9603,,9601,9511,9511,9509,9508,,9506,9504,9503,9502,9412,9411,9411,9410,9409,9407,,L4F,A4F,A4F,A4F,A2F, ,A3F,A2E,A2E,A2E,A2E, ,A1E,N2E,N2E,N1E,N1E,F1E,F1E,F1E,F1E,F1E, ,13,9702,32,6,13,,,,,,9601,,,9510,9512,,9506,,,,,9412,,,,,,,,,,,16,,,18,20,,12,,,,,12,,,,,,108,7,3,10,9404,20,9512,20,9603,9404,9412,8,15.428571429,32799,1,L,4,F,X,X,X,22,B
9401,STV,0,AL,35405, , ,4401,0, , , , ,XXXX,T1,35,54,E,H, , , , ,,5,F,8,28,1,0,8,0,1,1,1,3,1,4,3,0,0,0,3,0,27,42,30,6,21,5, , , ,9, , , , , , , , , , , , , , , , , , , , ,X,2797,838,1125,99,0,0,48,52,91,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,38,44,48,39,46,50,20,35,41,24,13,17,20,17,16,12,6,15,14,29,21,21,25,8,23,22,38,40,22,6,2,65,8,6,21,174,249,79,76,0,20,20,10,0,0,0,863,917,4,3,77,23,97,3,3,29,74,66,25,87,13,4,1,3,10,20,4,14,58,19,2,5,1,2,7,33,64,91,1,1,68,68,66,14,4,20,1,1,7,9,8,0,10,22,80,90,8600,231,620,406,527,459,562,19862,18,15,14,15,19,14,2,2,1,8,10,14,16,26,20,3,3,1,23,1,64,8,34,66,7,91,7,0,0,0,0,1,1,0,0,5,16,19,5,59,63,76,52,75,50,65,46,99,0,10,27,16,1,19,15,0,1,5,1,8,2,3,1,1,2,3,12,3,4,5,21,6,1,1,0,9,25,5,3,6,18,4,7,59,5,1,142,3,8,22,21,5,21,19,4,30,3,15,16,0,0,0,19,39,2,30,31,30,4,1,10,1,6,0,0,5,2,0,1,0,0,2,1,0,3,58,96,2,0,2,95,68,23,9,24,0,5,9,35,79,21,4,3,77,2,20,1,0,0,99,0,66,99,99,8,2,9,6,9706,9606,9604,,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,,,9409,9407,,L4E,S4E,S4E, ,A1D,A1D,A1D,S3D,S3D,S3D,S3D,S3D,S4D,S4D,S4D,S4D,S4D,N3D, , ,N3D,N3D, ,15,9702,36,5,12,,,,,,9602,9601,,9602,,,,9602,9504,,,,,,9409,9409,,,,,,,5,5,,5,,,,10,7,,,,,,6,4,,60,11,6,3,9309,10,9602,10,9602,9309,9404,7,5.4545454545,47563,1,L,4,E,X,X,X,11,C
9201,AML,0,CA,94087, , ,1701,0, , , , ,XXXX,U1,02,81,E,H, , , , ,,3,M,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,31,36,6,2,0, , , ,,04, ,Y, , , , , , , , , , ,Y, ,Y, , , ,2, ,1202,339,410,99,0,0,52,48,78,1,0,20,5,2,4,10,2,0,1,0,3,0,0,2,35,41,44,36,44,46,21,50,34,17,10,25,20,18,16,10,2,21,20,29,17,13,19,3,15,11,34,55,34,10,3,65,6,3,25,223,292,99,99,0,0,0,0,0,0,0,3447,3422,12,11,82,18,99,0,0,35,83,74,32,89,11,3,1,2,10,13,6,14,51,13,0,1,0,97,98,98,98,99,80,0,70,58,61,16,5,0,0,0,17,0,0,0,99,99,99,99,7400,65,807,579,646,632,680,21451,4,2,11,22,27,20,9,4,0,2,3,9,16,27,30,7,6,0,21,9,76,2,41,59,19,86,3,7,4,2,0,0,2,2,0,8,20,21,0,76,70,77,61,77,59,58,55,0,99,6,27,22,7,11,8,0,1,7,3,6,5,0,2,2,0,2,34,0,1,5,18,2,6,0,2,5,7,10,4,6,2,0,7,76,9,0,145,2,6,15,32,7,27,11,4,26,4,15,11,0,0,0,15,26,2,31,23,36,8,0,1,0,5,0,0,5,1,0,0,3,0,0,2,0,24,38,72,2,11,15,99,79,34,7,28,0,0,3,8,58,42,0,0,92,0,8,0,0,0,99,0,99,99,99,13,2,7,3,9706,9606,9604,,9603,9602,9601,9511,9510,9510,9509,9507,,,9503,,,,,,,,,L1F,A1F,A1F, ,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, , ,I2D, , , , , , , , ,11,9702,31,4,9,,,,,,,,,,,,,,9504,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,25,3,1,5,9206,15,9504,15,9504,9202,9206,4,8.3333333333,162887,0,L,1,F,X,X,X,9,A
8601,LKE,1,IN,47429, , ,4104,0, , , , ,XXXX,T2,39,57, , , , , , ,,, ,,0,,,,,,,,,,,,,,, ,0,30,33,23,8,7,2, , , ,3, , , , , , , , , , , , , , , , , , , , ,X,5722,1605,1989,0,30,70,49,51,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,39,41,32,42,45,31,36,42,23,12,25,26,16,10,7,4,13,15,34,22,16,18,7,16,16,29,55,33,11,4,66,10,5,19,221,287,82,81,2,7,6,3,0,0,0,538,594,3,2,83,17,96,4,18,48,81,69,40,90,10,8,2,6,9,13,3,25,62,11,0,0,0,0,1,6,22,58,0,2,52,55,57,16,5,6,2,10,8,4,3,1,4,10,32,64,1020,83,527,319,334,355,375,12179,17,15,25,21,17,2,2,0,0,12,15,28,22,19,3,2,0,0,21,5,35,8,40,60,5,79,14,1,1,0,0,1,2,3,0,22,21,26,5,74,74,83,65,80,62,71,58,63,99,6,10,10,3,10,16,0,1,10,2,17,9,7,4,3,1,7,25,4,4,3,15,5,2,3,1,5,13,5,4,8,8,2,8,68,7,1,120,4,16,46,18,3,7,5,1,29,1,24,4,0,0,0,16,31,2,37,15,20,15,0,11,1,14,0,0,6,0,0,0,0,0,2,1,1,0,78,98,1,0,1,97,73,35,7,21,3,11,20,53,71,29,0,0,25,18,32,8,0,17,72,27,45,98,96,10,2,6,4,9706,9606,9604,,9603,,,9511,,9510,9508,,9506,,9503,9502,9412,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F, ,L1F, , ,L1F, ,L1F,L1F, ,L1F, ,L1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,26,9702,61,4,12,,,,,,,,,,9602,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,75,9,6,5,8812,17,9602,17,9602,8608,8705,9,8.3333333333,63678,0,L,1,F,X,X,X,39,C
8601,AMB,0,IL,61073, , ,4401,0, , , , ,XXXX,T2,40,54,E,H, , , , ,,5,F,6,0,,,,,,,,,,,,,,,3,0,29,46,15,6,2,1, , , ,6, , , , , , ,Y, , , , , , , ,Y, , , , ,3,X,3635,1031,1210,88,0,12,50,50,98,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,31,38,39,30,41,43,32,34,44,22,10,27,31,15,8,5,3,13,15,36,22,14,13,4,11,12,29,59,39,11,2,70,8,3,19,246,300,94,94,2,5,3,0,0,0,0,716,738,3,3,89,11,99,1,13,52,85,77,46,93,7,6,1,5,10,8,3,26,64,8,0,0,0,0,1,5,40,92,0,0,67,58,61,17,5,5,0,0,6,4,0,0,12,27,59,83,6880,119,610,442,463,448,475,15532,10,8,16,30,28,7,1,0,0,6,8,14,33,31,8,1,0,0,13,2,47,4,44,56,10,85,12,0,0,0,0,0,1,2,10,5,22,23,2,74,80,87,72,84,70,75,64,95,99,1,12,12,5,12,18,0,1,8,1,16,10,3,3,1,0,6,37,2,1,5,14,6,3,2,2,7,6,6,2,6,2,1,5,81,6,0,121,3,8,38,25,11,11,4,3,28,3,22,6,0,0,0,14,29,0,46,13,15,7,1,4,1,16,0,0,2,2,2,0,0,0,1,4,0,2,62,95,2,1,2,99,83,27,7,16,2,16,33,74,81,19,0,0,91,1,5,3,0,1,13,87,1,99,99,7,2,5,3,9706,9606,9604,,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9501,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F, ,A1F,L2F,L2F,L2F,A1F,A1F,A1F,A1F,A1F, ,S2F,S2F,S2F,S2F,A1F,A1F,A1F,A1F,S2F,31,9702,78,5,12,,,,,,,,9511,,,,,,,,,,,,,9408,,,,,,,,,15,,,,,,,,,,,,,15,,151.07,17,11,0.07,8905,15,9401,15,9511,8610,8703,5,8.8864705882,95483,1,L,1,F,X,X,X,17,B
